index,cond,elev,hum,lat,lng,loc,pres,temp,time
0,Clear,5.4858880043,0.72,35.7090259,139.7319925,"Tokyo,Japan",995.0,46.0,1420038000
1,Clear,5.4858880043,0.55,35.7090259,139.7319925,"Tokyo,Japan",997.3,42.19,1420041600
2,Clear,5.4858880043,0.51,35.7090259,139.7319925,"Tokyo,Japan",998.5,43.0,1420045200
3,Partly Cloudy,5.4858880043,0.47,35.7090259,139.7319925,"Tokyo,Japan",999.3,41.38,1420048800
4,Clear,5.4858880043,0.48,35.7090259,139.7319925,"Tokyo,Japan",1000.1,40.19,1420052400
5,Clear,5.4858880043,0.42,35.7090259,139.7319925,"Tokyo,Japan",1000.5,40.19,1420056000
6,Partly Cloudy,5.4858880043,0.48,35.7090259,139.7319925,"Tokyo,Japan",1001.3,38.57,1420059600
7,Clear,5.4858880043,0.47,35.7090259,139.7319925,"Tokyo,Japan",1002.0,38.19,1420063200
8,Clear,5.4858880043,0.43,35.7090259,139.7319925,"Tokyo,Japan",1002.6,37.9,1420066800
9,Partly Cloudy,5.4858880043,0.4,35.7090259,139.7319925,"Tokyo,Japan",1003.2,40.88,1420070400
10,Clear,5.4858880043,0.36,35.7090259,139.7319925,"Tokyo,Japan",1003.5,41.9,1420074000
11,Clear,5.4858880043,0.36,35.7090259,139.7319925,"Tokyo,Japan",1002.8,41.38,1420077600
12,Mostly Cloudy,5.4858880043,0.34,35.7090259,139.7319925,"Tokyo,Japan",1001.6,41.13,1420081200
13,Clear,5.4858880043,0.41,35.7090259,139.7319925,"Tokyo,Japan",1002.0,39.3,1420084800
14,Clear,5.4858880043,0.38,35.7090259,139.7319925,"Tokyo,Japan",1002.1,39.0,1420088400
15,Mostly Cloudy,5.4858880043,0.41,35.7090259,139.7319925,"Tokyo,Japan",1002.2,38.66,1420092000
16,Clear,5.4858880043,0.35,35.7090259,139.7319925,"Tokyo,Japan",1003.3,38.74,1420095600
17,Clear,5.4858880043,0.34,35.7090259,139.7319925,"Tokyo,Japan",1004.1,38.19,1420099200
18,Partly Cloudy,5.4858880043,0.35,35.7090259,139.7319925,"Tokyo,Japan",1005.4,37.0,1420102800
19,Clear,5.4858880043,0.35,35.7090259,139.7319925,"Tokyo,Japan",1006.5,37.0,1420106400
20,Clear,5.4858880043,0.4,35.7090259,139.7319925,"Tokyo,Japan",1007.4,36.0,1420110000
21,Partly Cloudy,5.4858880043,0.37,35.7090259,139.7319925,"Tokyo,Japan",1008.0,35.19,1420113600
22,Clear,5.4858880043,0.35,35.7090259,139.7319925,"Tokyo,Japan",1008.9,35.19,1420117200
23,Clear,5.4858880043,0.36,35.7090259,139.7319925,"Tokyo,Japan",1009.5,34.0,1420120800
24,Clear,5.4858880043,0.42,35.7090259,139.7319925,"Tokyo,Japan",1007.0,38.57,1420642800
25,Clear,5.4858880043,0.43,35.7090259,139.7319925,"Tokyo,Japan",1007.4,37.76,1420646400
26,Clear,5.4858880043,0.32,35.7090259,139.7319925,"Tokyo,Japan",1007.8,40.57,1420650000
27,Clear,5.4858880043,0.34,35.7090259,139.7319925,"Tokyo,Japan",1008.0,38.57,1420653600
28,Clear,5.4858880043,0.34,35.7090259,139.7319925,"Tokyo,Japan",1008.0,38.19,1420657200
29,Clear,5.4858880043,0.36,35.7090259,139.7319925,"Tokyo,Japan",1008.2,37.76,1420660800
